away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
MIL,PHI,20220423,20:05,D,Citizens Bank Park,outdoor,0,0,9,7,5,3,MILPHI20220423D
LAD,SD,20220424,00:40,N,PETCO Park,outdoor,0,0,5,5,2,3,LADSD20220424N
TEX,OAK,20220423,20:07,D,Oakland Coliseum,outdoor,0,1,5,3,2,0,TEXOAK20220423D
NYM,ARI,20220424,00:10,N,Chase Field,retractable,0,1,7,11,2,5,NYMARI20220424N
KC,SEA,20220424,01:10,N,T-Mobile Park,retractable,0,2,10,16,7,13,KCSEA20220424N
STL,CIN,20220424,17:40,D,Great American Ball Park,outdoor,0,0,7,8,1,4,STLCIN20220424D
CLE,NYY,20220424,17:35,D,Yankee Stadium,outdoor,1,0,6,13,2,10,CLENYY20220424D
MIL,PHI,20220424,23:08,N,Citizens Bank Park,outdoor,0,0,3,5,1,0,MILPHI20220424N
COL,DET,20220424,17:10,D,Comerica Park,outdoor,0,0,11,7,6,2,COLDET20220424D
PIT,CHC,20220424,18:20,D,Wrigley Field,outdoor,2,1,6,10,4,3,PITCHC20220424D
TOR,HOU,20220424,18:10,D,Minute Maid Park,retractable,2,1,10,11,7,8,TORHOU20220424D
BOS,TB,20220424,17:10,D,Tropicana Field,indoor,0,0,6,9,2,5,BOSTB20220424D
LAD,SD,20220424,20:10,D,PETCO Park,outdoor,0,2,8,8,10,2,LADSD20220424D
NYM,ARI,20220424,20:10,D,Chase Field,retractable,0,3,10,6,6,2,NYMARI20220424D
BAL,LAA,20220424,20:07,D,Angel Stadium,outdoor,0,0,9,7,6,7,BALLAA20220424D
CWS,MIN,20220424,18:10,D,Target Field,outdoor,1,1,9,9,4,6,CWSMIN20220424D
TEX,OAK,20220424,20:07,D,Oakland Coliseum,outdoor,0,1,4,5,0,2,TEXOAK20220424D
KC,SEA,20220424,20:10,D,T-Mobile Park,retractable,1,0,9,10,4,5,KCSEA20220424D
MIA,ATL,20220424,17:35,D,Truist Park,outdoor,0,0,11,7,5,4,MIAATL20220424D
