away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
TOR,MIN,2024-03-14,17:05,D,CenturyLink Sports Complex,outdoor,1,1,9,4,5,1,TORMIN20240314D
OAK,CHC,2024-03-14,20:05,D,Sloan Park,outdoor,0,0,6,6,1,3,OAKCHC20240314D
MIL,SEA,2024-03-14,20:10,D,Peoria Sports Complex,outdoor,1,0,6,7,2,4,MILSEA20240314D
COL,CLE,2024-03-14,20:05,D,Goodyear Ballpark,outdoor,1,1,10,16,7,13,COLCLE20240314D
HOU,WSH,2024-03-14,22:05,N,CACTI Park of the Palm Beaches,outdoor,0,2,11,8,3,5,HOUWSH20240314N
LAA,CWS,2024-03-14,20:05,D,Camelback Ranch,outdoor,1,1,5,9,1,5,LAACWS20240314D
KC,AZ,2024-03-14,20:10,D,Salt River Fields at Talking Stick,outdoor,0,1,11,4,6,0,KCAZ20240314D
CIN,TEX,2024-03-15,01:05,N,Surprise Stadium,outdoor,1,1,7,6,4,7,CINTEX20240315N
NYM,STL,2024-03-14,17:05,D,Roger Dean Stadium,outdoor,0,0,3,3,0,0,NYMSTL20240314D
BOS,PHI,2024-03-14,17:05,D,BayCare Ballpark,outdoor,1,0,6,10,1,6,BOSPHI20240314D
NYY,DET,2024-03-14,17:05,D,Publix Field at Joker Marchant Stadium,outdoor,3,0,3,12,0,7,NYYDET20240314D
BAL,PIT,2024-03-14,19:05,D,LECOM Park,outdoor,0,1,3,6,5,2,BALPIT20240314D
PIT,NYY,2024-03-15,22:35,N,George M. Steinbrenner Field,outdoor,0,3,10,7,6,2,PITNYY20240315N
CLE,KC,2024-03-15,20:05,D,Surprise Stadium,outdoor,0,0,10,6,6,1,CLEKC20240315D
CHC,CWS,2024-03-15,20:05,D,Camelback Ranch,outdoor,0,0,7,4,2,3,CHCCWS20240315D
WSH,NYM,2024-03-15,22:10,N,Clover Park,outdoor,1,0,6,10,7,3,WSHNYM20240315N
SEA,LAA,2024-03-15,20:10,D,Tempe Diablo Stadium,outdoor,0,0,0,0,0,0,SEALAA20240315D
ATL,DET,2024-03-15,17:05,D,Publix Field at Joker Marchant Stadium,outdoor,1,0,4,13,1,6,ATLDET20240315D
PHI,HOU,2024-03-15,22:05,N,CACTI Park of the Palm Beaches,outdoor,1,1,5,14,3,5,PHIHOU20240315N
